Tiempo,Tratamiento,n1,n2,n3
3h,Control,1,1,1
3h,DMSO,0.984084881,0.973392461,0.969892473
3h,31.25 µM,0.75198939,0.760532151,0.776344086
3h,62.5 µm,0.73872679,0.720620843,0.713978495
3h,125 µM,0.704244032,0.691796009,0.703225806
3h,250 µM,0.679045093,0.667405765,0.683870968
3h,500 µM,0.563660477,0.578713969,0.6
3h,750 µM,0.474801061,0.454545455,0.453763441
3h,1 mM,0.306366048,0.270509978,0.253763441
6h,Control,1,1,1
6h,DMSO,0.969745223,0.959139785,0.955078125
6h,31.25 µM,0.757961783,0.741935484,0.77734375
6h,62.5 µm,0.686305732,0.733333333,0.6953125
6h,125 µM,0.644904459,0.675268817,0.65625
6h,250 µM,0.630573248,0.640860215,0.642578125
6h,500 µM,0.555732484,0.567741935,0.587890625
6h,750 µM,0.460191083,0.432258065,0.4453125
6h,1 mM,0.272292994,0.210752688,0.251953125
12h,Control,1,1,1
12h,DMSO,0.913919414,0.934193548,0.951381215
12h,31.25 µM,0.605311355,0.597419355,0.58121547
12h,62.5 µm,0.522893773,0.534193548,0.542541436
12h,125 µM,0.555860806,0.553548387,0.551381215
12h,250 µM,0.544871795,0.569032258,0.560220994
12h,500 µM,0.336996337,0.345806452,0.340331492
12h,750 µM,0.266483516,0.270967742,0.251612903
12h,1 mM,0.15018315,0.12516129,0.141935484
24h,Control,1,1,1
24 h,DMSO,0.980523094,0.978574988,0.976408281
24h,31.25 µM,0.557595993,0.556053812,0.561386615
24 h,62.5 µm,0.49638286,0.495266567,0.494944632
24h,125 µM,0.53311074,0.527154958,0.534424651
24 h,250 µM,0.539788536,0.53712008,0.537313433
24h,500 µM,0.333889816,0.352765321,0.334135773
24 h,750 µM,0.130773511,0.178375685,0.156475686
24h,1 mM,0.066777963,0.107623318,0.096774194
